2025-03-09 15:29:53 info: Congratulations, your extension "Embold" is now active!
2025-03-09 15:29:53 info: tempDirectory : c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
2025-03-09 15:30:03 info: Extraction complete for source: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\resources\embold-scanner-archive.zip, destination: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
2025-03-09 15:30:03 info: Extension installed on machine OS : win32
2025-03-09 15:30:03 info: Fetched the issues from DB
2025-03-09 15:30:04 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2025-03-09 15:30:04 info: Current installed embold extension version : 0.1.8
2025-03-09 15:30:04 info: Latest embold extension version on marketplace : 0.1.6
2025-03-09 15:30:06 info: Java version installed on machine : 
openjdk version "21.0.2" 2024-01-16 LTS
OpenJDK Runtime Environment Temurin-21.0.2+13 (build 21.0.2+13-LTS)
OpenJDK 64-Bit Server VM Temurin-21.0.2+13 (build 21.0.2+13-LTS, mixed mode, sharing)

2025-03-10 11:05:34 info: Extension installed on machine OS : win32
2025-03-10 11:05:34 info: Fetched the issues from DB
2025-03-10 11:05:35 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2025-03-10 11:05:35 info: Current installed embold extension version : 0.1.8
2025-03-10 11:05:35 info: Latest embold extension version on marketplace : 0.1.6
2025-03-10 11:05:40 info: Java version installed on machine : 
openjdk version "21.0.2" 2024-01-16 LTS
OpenJDK Runtime Environment Temurin-21.0.2+13 (build 21.0.2+13-LTS)
OpenJDK 64-Bit Server VM Temurin-21.0.2+13 (build 21.0.2+13-LTS, mixed mode, sharing)

2025-03-10 11:05:40 info: Java installed on machine.
2025-03-10 11:16:48 info: Row(s) deleted
2025-03-10 11:16:48 info: Row(s) deleted
2025-03-10 11:16:48 info: Row(s) deleted
2025-03-10 11:47:14 info: Congratulations, your extension "Embold" is now active!
2025-03-10 11:47:14 info: tempDirectory : c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
2025-03-10 11:47:40 info: Extraction complete for source: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\resources\embold-scanner-archive.zip, destination: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
2025-03-10 11:47:40 info: Extension installed on machine OS : win32
2025-03-10 11:47:40 info: Fetched the issues from DB
2025-03-10 11:47:42 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2025-03-10 11:47:42 info: Current installed embold extension version : 0.1.8
2025-03-10 11:47:42 info: Latest embold extension version on marketplace : 0.1.6
2025-03-10 11:47:47 info: Java version installed on machine : 
openjdk version "21.0.2" 2024-01-16 LTS
OpenJDK Runtime Environment Temurin-21.0.2+13 (build 21.0.2+13-LTS)
OpenJDK 64-Bit Server VM Temurin-21.0.2+13 (build 21.0.2+13-LTS, mixed mode, sharing)

2025-03-10 11:47:47 info: Java installed on machine.
2025-03-10 12:57:22 info: Row(s) deleted
2025-03-10 12:57:25 info: Row(s) deleted
2025-03-10 12:57:25 info: Row(s) deleted
2025-03-10 12:57:28 info: Row(s) deleted
2025-03-10 12:57:28 info: Row(s) deleted
2025-03-10 12:57:28 info: Row(s) deleted
2025-03-10 13:06:05 info: Row(s) deleted
2025-03-10 13:06:05 info: Row(s) deleted
2025-03-10 13:06:05 info: Row(s) deleted
2025-03-10 13:06:05 info: Row(s) deleted
2025-03-10 13:06:05 info: Row(s) deleted
2025-03-10 13:06:06 info: Row(s) deleted
2025-03-10 13:13:14 info: Row(s) deleted
2025-03-10 13:13:14 info: Row(s) deleted
2025-03-10 13:13:15 info: Row(s) deleted
2025-03-10 13:13:15 info: Row(s) deleted
2025-03-10 13:13:15 info: Row(s) deleted
2025-03-10 13:16:52 info: Row(s) deleted
2025-03-10 13:16:52 info: Row(s) deleted
2025-03-10 13:16:52 info: Row(s) deleted
2025-03-10 13:16:52 info: Row(s) deleted
2025-03-10 13:16:53 info: Row(s) deleted
2025-03-10 13:16:53 info: Row(s) deleted
2025-03-10 13:16:53 info: Row(s) deleted
2025-03-10 13:16:53 info: Row(s) deleted
2025-03-10 13:16:53 info: Row(s) deleted
2025-03-10 13:19:10 info: Row(s) deleted
2025-03-10 13:19:10 info: Row(s) deleted
2025-03-10 13:19:10 info: Row(s) deleted
2025-03-10 13:19:10 info: Row(s) deleted
2025-03-10 13:22:44 info: Row(s) deleted
2025-03-10 13:22:44 info: Row(s) deleted
2025-03-10 13:22:44 info: Row(s) deleted
2025-03-10 13:24:51 info: Row(s) deleted
2025-03-10 13:24:51 info: Row(s) deleted
2025-03-10 13:24:52 info: Row(s) deleted
2025-03-10 13:24:52 info: Row(s) deleted
2025-03-10 13:26:20 info: Row(s) deleted
2025-03-10 13:26:20 info: Row(s) deleted
2025-03-10 13:26:20 info: Row(s) deleted
2025-03-10 13:26:20 info: Row(s) deleted
2025-03-10 13:26:20 info: Row(s) deleted
2025-03-10 13:26:20 info: Row(s) deleted
2025-03-10 13:28:23 info: Row(s) deleted
2025-03-10 13:28:23 info: Row(s) deleted
2025-03-10 13:28:23 info: Row(s) deleted
2025-03-10 13:28:23 info: Row(s) deleted
2025-03-10 13:30:33 info: Row(s) deleted
2025-03-10 13:30:33 info: Row(s) deleted
2025-03-10 13:37:07 info: Row(s) deleted
2025-03-10 13:37:07 info: Row(s) deleted
2025-03-10 13:37:07 info: Row(s) deleted
2025-03-10 13:37:07 info: Row(s) deleted
2025-03-10 13:40:22 info: Row(s) deleted
2025-03-10 13:40:22 info: Row(s) deleted
2025-03-10 13:40:22 info: Row(s) deleted
2025-03-10 13:40:22 info: Row(s) deleted
2025-03-10 13:40:22 info: Row(s) deleted
2025-03-10 13:43:50 info: Row(s) deleted
2025-03-10 13:43:50 info: Row(s) deleted
2025-03-10 13:43:50 info: Row(s) deleted
2025-03-10 13:43:50 info: Row(s) deleted
2025-03-10 13:43:50 info: Row(s) deleted
2025-03-10 13:43:50 info: Row(s) deleted
2025-03-10 13:46:53 info: Row(s) deleted
2025-03-10 13:46:53 info: Row(s) deleted
2025-03-10 13:46:53 info: Row(s) deleted
2025-03-10 13:46:53 info: Row(s) deleted
2025-03-10 13:46:53 info: Row(s) deleted
2025-03-10 13:46:53 info: Row(s) deleted
2025-03-10 13:46:53 info: Row(s) deleted
2025-03-10 13:51:22 info: Row(s) deleted
2025-03-10 13:51:22 info: Row(s) deleted
2025-03-10 13:51:22 info: Row(s) deleted
2025-03-10 13:57:21 info: Row(s) deleted
2025-03-10 13:57:21 info: Row(s) deleted
2025-03-10 13:59:31 info: Row(s) deleted
2025-03-10 14:05:17 info: Row(s) deleted
2025-03-10 14:05:17 info: Row(s) deleted
2025-03-10 14:05:17 info: Row(s) deleted
2025-03-10 14:05:17 info: Row(s) deleted
2025-03-10 14:06:32 info: Row(s) deleted
2025-03-10 14:08:22 info: Row(s) deleted
2025-03-10 14:08:22 info: Row(s) deleted
2025-03-10 14:08:22 info: Row(s) deleted
2025-03-10 14:08:22 info: Row(s) deleted
2025-03-10 14:14:30 info: Row(s) deleted
2025-03-10 14:14:30 info: Row(s) deleted
2025-03-10 14:14:30 info: Row(s) deleted
2025-03-10 14:14:30 info: Row(s) deleted
2025-03-10 14:14:30 info: Row(s) deleted
2025-03-10 14:16:00 info: Row(s) deleted
2025-03-10 14:18:23 info: Row(s) deleted
2025-03-10 14:18:23 info: Row(s) deleted
2025-03-10 14:18:23 info: Row(s) deleted
2025-03-10 14:18:23 info: Row(s) deleted
2025-03-10 14:18:23 info: Row(s) deleted
2025-03-10 14:18:23 info: Row(s) deleted
2025-03-10 14:19:55 info: Row(s) deleted
2025-03-10 14:19:55 info: Row(s) deleted
2025-03-10 14:19:55 info: Row(s) deleted
2025-03-10 14:21:19 info: Row(s) deleted
2025-03-10 14:21:19 info: Row(s) deleted
2025-03-10 14:21:19 info: Row(s) deleted
2025-03-10 14:21:19 info: Row(s) deleted
2025-03-10 14:26:16 info: Row(s) deleted
2025-03-10 14:26:16 info: Row(s) deleted
2025-03-10 14:30:17 info: Row(s) deleted
2025-03-10 14:30:17 info: Row(s) deleted
2025-03-10 14:30:17 info: Row(s) deleted
2025-03-10 14:30:18 info: Row(s) deleted
2025-03-12 11:46:18 info: Row(s) deleted
2025-03-12 11:46:18 info: Row(s) deleted
2025-03-12 11:46:18 info: Row(s) deleted
2025-03-12 11:46:19 info: Row(s) deleted
2025-03-12 11:46:19 info: Row(s) deleted
2025-03-12 11:50:39 info: Row(s) deleted
2025-03-12 11:50:39 info: Row(s) deleted
2025-03-12 11:50:39 info: Row(s) deleted
2025-03-12 11:50:39 info: Row(s) deleted
2025-03-12 11:50:40 info: Row(s) deleted
2025-03-12 11:52:44 info: Row(s) deleted
2025-03-12 11:52:44 info: Row(s) deleted
2025-03-12 11:52:44 info: Row(s) deleted
2025-03-12 11:52:44 info: Row(s) deleted
2025-03-12 11:52:44 info: Row(s) deleted
2025-03-12 11:53:45 info: Row(s) deleted
2025-03-12 11:53:45 info: Row(s) deleted
2025-03-12 11:53:45 info: Row(s) deleted
2025-03-12 11:53:45 info: Row(s) deleted
2025-03-12 11:53:49 info: Row(s) deleted
2025-03-12 11:53:53 info: Row(s) deleted
2025-03-12 11:53:59 info: Row(s) deleted
2025-03-12 11:58:05 info: Row(s) deleted
